"I","J","K"
"i1","j3","k2"
"i1","j3","k22"
"i1","j5","k15"
"i1","j5","k24"
"i1","j6","k3"
"i1","j6","k17"
"i1","j7","k13"
"i1","j8","k14"
"i1","j8","k39"
"i1","j9","k11"
"i1","j9","k12"
"i1","j12","k1"
"i1","j12","k3"
"i1","j12","k36"
"i1","j12","k38"
"i1","j14","k21"
"i1","j14","k23"
"i1","j15","k17"
"i1","j15","k20"
"i1","j15","k35"
"i1","j18","k6"
"i1","j23","k16"
"i1","j24","k36"
"i1","j25","k21"
"i1","j27","k1"
"i1","j27","k10"
"i1","j28","k1"
"i1","j28","k6"
"i1","j29","k16"
"i1","j31","k9"
"i1","j31","k38"
"i1","j31","k39"
"i1","j36","k23"
"i1","j36","k27"
"i1","j37","k12"
"i1","j39","k21"
"i1","j39","k30"
"i1","j40","k20"
"i1","j40","k30"
"i1","j42","k23"
"i1","j42","k30"
"i1","j42","k40"
"i1","j43","k14"
"i1","j44","k5"
"i1","j44","k29"
"i1","j46","k3"
"i1","j46","k17"
"i1","j46","k30"
"i1","j48","k16"
"i1","j50","k23"
"i2","j1","k23"
"i2","j2","k3"
"i2","j3","k2"
"i2","j5","k14"
"i2","j6","k20"
"i2","j6","k31"
"i2","j8","k10"
"i2","j11","k9"
"i2","j11","k14"
"i2","j13","k17"
"i2","j13","k19"
"i2","j18","k37"
"i2","j20","k6"
"i2","j22","k40"
"i2","j25","k24"
"i2","j26","k6"
"i2","j26","k15"
"i2","j27","k30"
"i2","j28","k8"
"i2","j28","k29"
"i2","j30","k5"
"i2","j30","k35"
"i2","j32","k7"
"i2","j34","k32"
"i2","j35","k15"
"i2","j36","k34"
"i2","j37","k33"
"i2","j41","k10"
"i2","j43","k37"
"i2","j44","k1"
"i2","j46","k14"
"i2","j47","k11"
"i2","j48","k13"
"i3","j5","k6"
"i3","j5","k24"
"i3","j6","k3"
"i3","j6","k6"
"i3","j8","k23"
"i3","j9","k25"
"i3","j9","k34"
"i3","j10","k32"
"i3","j14","k4"
"i3","j14","k27"
"i3","j18","k5"
"i3","j21","k14"
"i3","j21","k25"
"i3","j22","k36"
"i3","j24","k23"
"i3","j28","k30"
"i3","j31","k11"
"i3","j34","k1"
"i3","j34","k7"
"i3","j37","k17"
"i3","j39","k23"
"i3","j39","k35"
"i3","j40","k32"
"i3","j41","k17"
"i3","j42","k26"
"i3","j42","k31"
"i3","j44","k17"
"i3","j46","k5"
"i3","j46","k14"
"i3","j48","k36"
"i3","j49","k27"
"i3","j50","k19"
"i4","j1","k18"
"i4","j5","k24"
"i4","j6","k29"
"i4","j10","k6"
"i4","j10","k26"
"i4","j10","k39"
"i4","j11","k24"
"i4","j12","k34"
"i4","j14","k17"
"i4","j15","k30"
"i4","j18","k6"
"i4","j18","k15"
"i4","j19","k16"
"i4","j21","k24"
"i4","j22","k38"
"i4","j24","k6"
"i4","j25","k35"
"i4","j26","k9"
"i4","j27","k8"
"i4","j27","k30"
"i4","j29","k40"
"i4","j33","k27"
"i4","j33","k38"
"i4","j35","k33"
"i4","j37","k25"
"i4","j38","k4"
"i4","j40","k20"
"i4","j41","k12"
"i4","j43","k24"
"i4","j44","k32"
"i4","j47","k8"
"i4","j49","k8"
"i4","j49","k25"
"i5","j1","k24"
"i5","j3","k5"
"i5","j5","k9"
"i5","j6","k1"
"i5","j7","k5"
"i5","j10","k33"
"i5","j11","k25"
"i5","j12","k6"
"i5","j13","k16"
"i5","j15","k3"
"i5","j15","k40"
"i5","j18","k29"
"i5","j19","k39"
"i5","j20","k19"
"i5","j21","k30"
"i5","j23","k28"
"i5","j23","k30"
"i5","j23","k31"
"i5","j27","k9"
"i5","j31","k34"
"i5","j32","k40"
"i5","j34","k6"
"i5","j34","k25"
"i5","j35","k6"
"i5","j35","k25"
"i5","j36","k17"
"i5","j37","k35"
"i5","j38","k32"
"i5","j38","k35"
"i5","j38","k38"
"i5","j39","k7"
"i5","j39","k38"
"i5","j40","k2"
"i5","j40","k40"
"i5","j41","k13"
"i5","j42","k15"
"i5","j43","k1"
"i5","j43","k11"
"i5","j43","k28"
"i5","j43","k35"
"i5","j44","k4"
"i5","j44","k37"
"i5","j45","k9"
"i5","j46","k27"
"i5","j48","k1"
"i5","j49","k17"
"i5","j50","k27"
"i5","j50","k36"
"i6","j2","k20"
"i6","j5","k7"
"i6","j5","k8"
"i6","j6","k13"
"i6","j11","k10"
"i6","j11","k33"
"i6","j12","k40"
"i6","j16","k13"
"i6","j16","k15"
"i6","j16","k28"
"i6","j19","k26"
"i6","j19","k39"
"i6","j21","k28"
"i6","j23","k37"
"i6","j26","k40"
"i6","j28","k9"
"i6","j28","k13"
"i6","j29","k19"
"i6","j29","k20"
"i6","j30","k30"
"i6","j30","k32"
"i6","j32","k26"
"i6","j32","k33"
"i6","j33","k18"
"i6","j34","k38"
"i6","j34","k40"
"i6","j36","k5"
"i6","j36","k35"
"i6","j38","k14"
"i6","j40","k33"
"i6","j42","k10"
"i6","j42","k23"
"i6","j45","k25"
"i6","j46","k40"
"i6","j47","k5"
"i6","j47","k30"
